account_id,payment_behavior,months_on_book,plan_tier,auto_debit,credit_score_band,bundled_services,complaint_calls,ebill_enrolled,segment,target
ACC0000001,75,-45,-35,-40,10,-30,0,-20,YOUNG,1
ACC0000002,40,-45,-35,-40,35,5,-50,30,YOUNG,0
ACC0000003,-25,-10,-35,45,35,5,40,30,YOUNG,0
ACC0000004,40,-10,-35,-40,35,30,-50,30,YOUNG,1
ACC0000005,40,25,-35,45,35,-30,0,30,MATURE,0
ACC0000006,-25,-45,-35,45,10,-30,-50,30,YOUNG,0
ACC0000007,10,-10,15,-40,-20,30,40,30,YOUNG,0
ACC0000008,-25,-10,50,45,10,5,0,-20,YOUNG,0
ACC0000009,75,25,15,45,10,55,40,30,MATURE,0
ACC0000010,10,-10,15,-40,65,5,40,30,YOUNG,0
ACC0000011,-25,-45,50,-40,-20,-30,0,-20,YOUNG,1
ACC0000012,-60,-45,-35,45,-20,30,40,30,YOUNG,1
ACC0000013,10,55,15,45,35,-30,-50,-20,MATURE,0
ACC0000014,40,-10,50,-40,10,-30,0,30,MATURE,0
ACC0000015,-25,-45,-35,-40,-20,5,40,-20,MATURE,0
ACC0000016,40,-10,-35,-40,-55,5,40,-20,YOUNG,0
ACC0000017,40,-10,50,45,65,-30,0,30,MATURE,0
ACC0000018,75,25,15,45,-20,-30,40,30,MATURE,0
ACC0000019,10,-10,15,-40,-20,-30,40,-20,YOUNG,0
ACC0000020,40,-45,-35,-40,-20,-30,-50,-20,YOUNG,1
ACC0000021,40,-45,15,-40,65,-30,-50,30,YOUNG,1
ACC0000022,-25,-45,-35,-40,10,-30,40,30,YOUNG,0
ACC0000023,75,25,15,45,10,30,40,30,MATURE,0
ACC0000024,40,55,15,45,35,55,40,-20,MATURE,0
ACC0000025,75,-10,15,45,10,5,-50,30,YOUNG,1
ACC0000026,40,55,-35,45,65,30,-50,-20,MATURE,0
ACC0000027,10,55,15,45,35,5,-50,30,MATURE,0
ACC0000028,-60,25,-35,45,-55,-30,0,30,YOUNG,1
ACC0000029,40,-45,50,45,35,55,-50,30,MATURE,0
ACC0000030,75,-45,15,-40,35,-30,-50,30,YOUNG,0
ACC0000031,75,-45,15,-40,-20,-30,0,30,YOUNG,1
ACC0000032,40,-10,15,-40,-20,30,40,30,MATURE,1
ACC0000033,75,25,15,45,35,-30,0,30,MATURE,0
ACC0000034,-25,55,-35,45,65,30,0,-20,MATURE,0
ACC0000035,10,25,-35,-40,-20,5,-50,-20,YOUNG,1
ACC0000036,40,25,15,45,10,30,40,30,MATURE,0
ACC0000037,-25,25,15,45,10,30,0,-20,MATURE,0
ACC0000038,40,-10,-35,-40,35,-30,0,30,YOUNG,0
ACC0000039,40,55,-35,45,65,55,40,30,MATURE,0
ACC0000040,10,55,15,45,65,55,40,-20,MATURE,0
ACC0000041,40,55,50,45,35,-30,40,-20,MATURE,0
ACC0000042,-25,-10,-35,-40,10,30,40,30,YOUNG,1
ACC0000043,40,-10,50,-40,10,-30,-50,30,YOUNG,1
ACC0000044,75,55,-35,45,10,-30,-50,30,YOUNG,0
ACC0000045,75,-10,15,45,65,55,0,-20,MATURE,0
ACC0000046,40,25,50,45,35,55,40,-20,MATURE,0
ACC0000047,10,-10,15,-40,65,30,-50,30,MATURE,1
ACC0000048,10,-45,-35,-40,35,-30,40,30,YOUNG,1
ACC0000049,75,25,15,45,-55,5,40,30,MATURE,0
ACC0000050,75,-10,-35,-40,35,-30,40,-20,YOUNG,1
ACC0000051,-25,25,15,-40,10,30,-50,-20,MATURE,0
ACC0000052,75,25,50,-40,10,-30,40,30,MATURE,0
ACC0000053,10,25,15,-40,10,-30,0,30,MATURE,0
ACC0000054,-60,-10,50,-40,-20,30,-50,-20,MATURE,1
ACC0000055,-60,-45,-35,-40,10,-30,0,30,YOUNG,1
ACC0000056,40,55,50,45,35,55,40,-20,MATURE,0
ACC0000057,40,-10,-35,-40,35,-30,-50,30,YOUNG,1
ACC0000058,10,-45,-35,45,35,-30,40,30,YOUNG,0
