account_id,payment_history,credit_utilization,account_tenure,monthly_income,num_credit_lines,recent_inquiries,segment,target
ACC0000001,75,65,5,35,20,45,CONSUMER,0
ACC0000002,-25,5,5,-20,-10,-45,CONSUMER,0
ACC0000003,40,5,5,60,20,15,CONSUMER,0
ACC0000004,10,35,5,-20,20,15,CONSUMER,1
ACC0000005,-60,5,55,-45,-40,-15,CONSUMER,0
ACC0000006,-25,65,5,35,-10,-15,CONSUMER,1
ACC0000007,75,65,-35,-45,20,45,CONSUMER,0
ACC0000008,10,-30,5,-20,20,15,CONSUMER,0
ACC0000009,40,5,-35,60,-10,15,CONSUMER,0
ACC0000010,75,5,-35,-20,20,-15,CONSUMER,0
ACC0000011,40,65,30,60,-10,45,CONSUMER,0
ACC0000012,10,65,-35,-45,40,-45,CONSUMER,0
ACC0000013,75,35,30,10,-10,-15,CONSUMER,0
ACC0000014,40,-55,55,10,20,-15,CONSUMER,0
ACC0000015,-60,35,5,35,20,45,CONSUMER,0
ACC0000016,75,65,-35,35,40,-15,CONSUMER,0
ACC0000017,40,35,55,35,-10,15,CONSUMER,0
ACC0000018,10,-55,30,35,-40,-15,ENTERPRISE,0
ACC0000019,40,35,-50,35,-10,-15,CONSUMER,1
ACC0000020,10,5,30,10,-10,-45,SME,0
ACC0000021,40,-30,-35,60,-10,45,ENTERPRISE,0
ACC0000022,10,-30,30,35,20,15,CONSUMER,0
ACC0000023,-25,5,30,10,20,45,CONSUMER,1
ACC0000024,40,35,55,-45,20,-45,SME,0
ACC0000025,10,5,-50,-20,20,-45,CONSUMER,0
ACC0000026,-25,-30,30,-20,20,15,ENTERPRISE,0
ACC0000027,75,5,5,35,-10,45,CONSUMER,0
ACC0000028,10,-30,5,10,20,-45,SME,0
ACC0000029,-25,5,55,10,40,-15,CONSUMER,0
ACC0000030,-25,-55,30,-20,-40,15,SME,1
ACC0000031,10,35,30,35,40,-15,CONSUMER,0
ACC0000032,10,-55,5,35,40,-45,CONSUMER,0
ACC0000033,75,65,-50,60,40,-45,CONSUMER,0
ACC0000034,-60,5,5,-45,40,45,CONSUMER,0
ACC0000035,-25,35,-50,-45,-10,-45,SME,1
